german,english,hungarian,type,⍨,score,,
Ich spreche Deutsch auf elementarem Niveau,I speak German at a basic level,alapszinten beszélek németül,exp,2014-09-23,5,,
ich treffe mich auf ein Bier,to meet someone for a beer,találkozni valakivel egy sörre/kávéra,exp,2014-10-08,5,,
Ich weiß nicht dieses Problem zu lösen,I don't know how to solve this problem,nem tudom hogyan kell/kéne megoldani ezt a problémát,exp,2014-05-18,5,,
im Internet,"on the internet, online",interneten,exp,2014-05-10,5,,
im Marz,in March,márciusban,exp,2014-05-01,5,,
in 1976,in 1976,1976-ban,exp,2014-05-01,5,,
in Anspruch nehmen,to utilise; to make use of,igénybevenni,exp,2014-05-01,5,,
in Ausführungszeichen,in quotation marks,idézőjelben,exp,2014-06-06,5,,
in gebrochenem Deutsch,(in) broken German,tört német nyelven,exp,2014-10-09,5,,
"je ... desto ... (z.B. je größer, desto besser)","the sther, the sther (e.g. the bigger the better)","minél vmibb annál vmibb ... (pl. minél nagyobb, annál jobb)",exp,2014-10-18,5,,
"je ... umso ... (z.B. je größer, desto besser)","the sther, the sther (e.g. the bigger the better)","minél vmibb annál vmibb ... (pl. minél nagyobb, annál jobb)",exp,2014-10-18,5,,
je zuvor,ever before,valaha korábban,exp,2014-10-11,5,,
Junge Frau!,Miss!,Fiatalasszony!,exp,2014-08-20,5,,
Junge Mann!,Mister!,Fiatalúr!,exp,2014-08-20,5,,
kein Ding,no problem (colloquial),nem probléma,exp,2014-08-31,5,,
keine Rolle spielen,to not play a role; to be unimportant,nem játszik szerepet; nem számit,exp,2014-06-04,5,,
Keineswegs!,by no means; anything but; not remotely; in no way,semmi esetre sem,exp,2014-10-09,5,,
Kinder im Alter von zwei Jahren,two years old...,"két éves kortól ..., két éves korú....",exp,2014-10-11,5,,
Kinder welcher Alter,how old of a child ...,"milyen korú gyerekek ..., hány éves gyerekek ...",exp,2014-08-20,5,,
Kontakt knüpfen,making contact,kapcsolatot teremteni,exp,2014-05-11,5,,
krass!,"crass; cool (slang), rad (slang)",durva!,exp,2014-05-01,5,,
leider geil,so cool,fasza (slang),exp,2014-05-01,5,,
letztes mahl,last time,utolsó alkalommal,exp,2014-05-01,5,,
man gewöhnt sich d'ran,you get used to it,megszokja az ember,exp,2014-10-18,5,,
"mir gleich, es ist mir gleich",doesn't matter,mindegy,exp,2014-10-01,5,,
mit allem drumm und dran,"lock, stock and barrel; with all the trimmings","mindennel, ami hozzá tartozik",exp,2014-08-24,5,,
mit allem Pipapo,"lock, stock and barrel; with all the trimmings","mindennel, ami hozzá tartozik",exp,2014-08-24,5,,
mit Hilfe von,by (indicates a means),valami segítségével,exp,2014-05-01,5,,
nach Absprache,"as agreed, as discussed",megbeszélés szerint; megegyezés szerint,exp,2014-10-01,5,,
nett Sie kennenzulehrnen,nice to meet you,örvendek,exp,2014-10-10,5,,
nicht mal,not even,még azt sem,exp,2014-06-04,5,,
nicht wirklich,not really,nem igazán,exp,2014-05-29,5,,
nie im Leben,never ever,soha az életben,exp,2014-10-09,5,,
Paar mal,couple of times,párszor,exp,2014-05-01,5,,
passt schon,just fits; never mind,pont passzol; hagyd,exp,2014-05-01,5,,
per etw.,via sthg,"valami útján, valami módon",exp,2014-05-15,5,,
Pflicht sein,mandatory,kötelező,exp,2014-05-01,5,,
recht häufig,relatively often,viszonylag gyakran,exp,2014-08-11,5,,
recht sein,to be right,megfelelni,exp,2014-05-01,5,,
schlechtes Gewissen,remorse,bűntudat,exp,2014-05-01,5,,
selbständig machen,become self-employed,vállalkozóvá lenni,exp,2014-05-01,5,,
sich entscheidet es,we will see; it will be decided,eldől,exp,2014-05-09,5,,
um 7 Uhr,at 7 o'clock,7 órakor,exp,2014-05-01,5,,
um Aufmerksamkeit bitten,asking for attention,figyelmet kérek,exp,2014-05-24,5,,
um die Ecke,around the corner,a sarkon,exp,2014-10-08,5,,
um die Ecke bringen,to call someone out,kihívni valakit az utcára,exp,2014-10-08,5,,
um Informationen bitten,I'm asking information,információt kérek,exp,2014-05-24,5,,
und zwar,in fact,méghozzá,exp,2014-05-09,5,,
usw (und so weiter),"and so on, and so forth",stb,exp,2014-05-01,5,,
Versicherung abschließen,to sign an insurance contract,biztostást megkötni,exp,2014-06-04,5,,
Vertrag abschließen,to sign a contract,szerződést megkötni,exp,2014-06-04,5,,
von Heute in eine Woche,one week from now,egy hét múlva,exp,2014-06-06,5,,
von nun an,from now on,ettől kezdve,exp,2014-05-01,5,,
von zu Hause (aus),from home,otthonról,exp,2014-08-20,5,,
von Zuhause (aus),from home,otthonról,exp,2014-08-20,5,,
vor allem,above all; first of all,mindenek előtt; elsősorban; leginkább; mindenekelőtt; főleg hogy,exp,2014-08-13,5,,
was auch immer,whatever,"jól van, hagyjál már; ",exp,2014-05-01,5,,
Was für ein Ekel?,how disgusting?,micsoda gusztustalanság,exp,2014-10-01,5,,
Was für... (Was für Bier gibt es?),What ...? What kind of ...? (What kind of beer do you have?),Milyen ...? (Milyen sör van?),exp,2014-10-15,5,,
weit von,far away from,távol (valamitől),exp,2014-05-01,5,,
Welche Art von Käse gibt es?,what kinds of cheese are there?; what kinds of cheese do you have?,milyen sajtok vannak?,exp,2014-06-10,5,,
Welche Sorten gibt es?,what kinds are there?; what kinds do you have?,milyenek vannak?,exp,2014-06-10,5,,
wie auch immer,whatever,"jól van, hagyjál már",exp,2014-05-01,5,,
wie lief es?,who did it go?,hogy ment?,exp,2014-10-11,5,,
wie üblich,as usual,mint megszokott,exp,2014-05-01,5,,
Wo geht es lang?,Which way?,Merre (megyünk)?,exp,2014-10-13,5,,
Wo lang?,which way? (colloquial),merre? (informális),exp,2014-10-10,5,,
zu dritt sein,group of three,hárman lenni,exp,2014-05-09,5,,
zu kurz kommen,be neglected ,"rövidebbet húzni, elhanyagolni",exp,2014-05-01,5,,
zu viert sein,group of four,négyen lenni,exp,2014-05-09,5,,
zu zweit sein,group of two,ketten lenni; kettesben lenni,exp,2014-05-09,5,,
zum Teil,to some extent,részben; egy bizonyos fokig/szintig,exp,2014-06-04,5,,
zur Erinnerung an,as a memento of sth.,vmiről emlékbe,exp,2014-05-09,5,,
zweit größte,second largest,második legnagyobb,exp,2014-05-29,5,,
"ADAC, Allgemeiner Deutscher Automobil-Club e.V.",General German Automobile Club,sárga angyal,init,2014-05-01,5,,
also!,"so!, all right!",ahha! nahát!,inter,2014-07-30,5,,
"r Kunde,~n",customer,ügyfél,noun,2014-10-10,5,,
"r Aal,~e",eel,sikló,noun,2014-10-01,5,,
"e Abfrage,~n",query,keresés (IT),noun,2014-10-06,5,,
"s Abo,~s",subscription,előfizetés,noun,2014-05-05,5,,
"r Abschied,~e","parting, farewell",búcsúzás,noun,2014-05-24,5,,
"r Abschluss,⍨e",end,befejezés,noun,2014-05-01,5,,
"e Absprache,~n",collusion,megbeszélés,noun,2014-10-01,5,,
"e Abteilung,~en",department,részleg,noun,2014-10-10,5,,
"e Affe,~n",monkey,majom,noun,2014-05-01,5,,
"s Ägypten,-",Egypt,Egyiptom,noun,2014-10-16,5,,
"r Ägypter,~",Egyptian (male),egyiptomi (férfi),noun,2014-10-16,5,,
"e Ägypterin,~nen",Egyptian (female),egyiptomi (nő),noun,2014-10-16,5,,
"s Ägyptisch,~e",Egyptian,egyiptomi,noun,2014-10-16,5,,
"r Alki,~s",junky,alkesz (slang),noun,2014-05-15,5,,
"e Altersklasse,~n","age class, age group",korcsoport???,noun,2014-08-20,5,,
"r Amerikaner,~",American (male),amerikai (férfi),noun,2014-10-16,5,,
"e Amerikanerin,~nen",American (female),amerikai (nő),noun,2014-10-16,5,,
"s Amerikanisch,~e",American,amerikai,noun,2014-10-16,5,,
"s Amt,⍨er",office,hivatal,noun,2014-05-05,5,,
"r Anbau,~ten",extension,bővítés,noun,2014-05-01,5,,
"s Anführungszeichen,~",quotation marks,idézőjel,noun,2014-06-06,5,,
"e Angst,⍨e",fear,félelem,noun,2014-10-15,5,,
"r Anker,~",anchor,link,noun,2014-10-06,5,,
"e Annahme,~n","acceptance; receipt, receiving",átvétel; felvétel (címé/névé/vallásé),noun,2014-05-09,5,,
"r Anschluss,⍨e",connection,kapcsolat,noun,2014-10-06,5,,
"s Ansehen,-",respect,megbecsülés,noun,2014-06-06,5,,
"r Anspruch,⍨e",entitlement; claim,jog; igény,noun,2014-06-04,5,,
"r Anteil,~e",share,rész,noun,2014-09-10,5,,
"r Anwalt,~en",lawyer (male),ügyvéd,noun,2014-09-10,5,,
"e Anwältin,~nen",lawyer (female),ügyvédnő,noun,2014-09-10,5,,
"e Anwendung,~en","application, app",alkalmazás (számtech),noun,2014-09-22,5,,
"e Applikation,~en",application,"program (IT), applikáció",noun,2014-10-06,5,,
"r Arbeitnehmer,~",employee,munkavállaló,noun,2014-10-09,5,,
"r Arbeitsplatz,⍨e",work place (both abstract or concrete),munkahely (absztrakt vagy konkrét),noun,2014-10-10,5,,
"r Arbeitsspeicher,~",main memory; internal memory,belső memória; elsődleges memória,noun,2014-10-06,5,,
"s Argentinien,-",Argentina,Argentína,noun,2014-10-16,5,,
"r Argentinier,~",Argentinian (male),argentín (férfi),noun,2014-10-16,5,,
"e Argentinierin,~nen",Argentinian (female),argentín (nő),noun,2014-10-16,5,,
"s Argentinisch,~e",Argentinan,argentín,noun,2014-10-16,5,,
"r Armleuchter,~","knucklehead, bonehead, idiot",idióta,noun,2014-10-15,5,,
"e Art,-en","kind, sort, type; species",fajta (bármire),noun,2014-06-10,5,,
"r Ast,⍨e",branch,ág,noun,2014-05-01,5,,
"e Atmosphäre,~n",atmosphere,hangulat,noun,2014-07-14,5,,
"r Atze,~n","mate, buddy, dog (slang)","dude, haver (slang)",noun,2014-08-20,5,,
"r Aufenthalt,~e",stay,tartózkodás,noun,2014-08-11,5,,
"e Aufforderung,~en",prompt,felszólítás,noun,2014-05-01,5,,
"e Aufgabe,~e","task, assignment, mission; giving up",feladat; feladni,noun,2014-10-10,5,,
"e Auflösung,~en","resolution, abolishment",felbontás,noun,2014-05-01,5,,
"e Aufmerksamkeit,~en","attention, care",figyelem,noun,2014-05-24,5,,
"r Auftrag,⍨e",task,megbízás,noun,2014-05-10,5,,
"r Augenblick,~e",instant,szempillantás,noun,2014-10-14,5,,
"r Augenschmaus,⍨e",eye candy,látványelem,noun,2014-07-21,5,,
"e Ausdruck,⍨e",expression,kifejezés,noun,2014-08-24,5,,
"e Ausführung,~en",execution,végrehajtás,noun,2014-06-06,5,,
"s Ausführungszeichen,~",exclamation mark,felkiáltójel,noun,2014-06-06,5,,
"e Ausgabe,~n",edition,kiadás,noun,2014-05-09,5,,
"s Australien,-",Australia,Australia,noun,2014-10-16,5,,
"r Australier,~",Australian (male),ausztrál (férfi),noun,2014-10-16,5,,
"e Australierin,~nen",Australian (female),ausztrál (nő),noun,2014-10-16,5,,
"s Australisch,~e",Australian,ausztrál,noun,2014-10-16,5,,
"s/e Baklava,~s",baklava ,baklava,noun,2014-05-01,5,,
"r Ballaststoff,~e",fiber ,rost,noun,2014-05-01,5,,
"s Banner,~",banner,banner,noun,2014-10-06,5,,
"e Bauchtasche,~n","belt bag, fanny pack","övtáska, hasitasi",noun,2014-07-22,5,,
"e Baumstructur,~en",tree structure,fa-struktúra,noun,2014-10-06,5,,
"s Becken,~",pool,medence,noun,2014-06-09,5,,
"r Begriff,~e","term, concept",kifejezés,noun,2014-08-13,5,,
"s Bein,~e",leg,láb,noun,2014-05-05,5,,
"s Belgien,-",Belgium,Belgium,noun,2014-10-16,5,,
"r Belgier,~",Belgian (male),belga (férfi),noun,2014-10-16,5,,
"e Belgierin,~nen",Belgian (female),belga (nő),noun,2014-10-16,5,,
"s Belgisch,~e",Belgian,belga,noun,2014-10-16,5,,
"e Benutzeroberfläche,~n",user interface,felhasználói felület,noun,2014-10-06,5,,
"s Bereich,~e",realm; area; range; scope; section,részleg; terület (átv. is),noun,2014-09-10,5,,
"r Bericht,~e",report,"riport, jelentés",noun,2014-05-10,5,,
"e Beschwerde,~n",complaint,panasz,noun,2014-05-24,5,,
"r Besen,~",broom,seprű,noun,2014-05-01,5,,
"e Besprechung,~en",meeting,tárgyalás,noun,2014-08-24,5,,
"e Besucherstatistik,~en",visitor statistics,látogatói statisztika,noun,2014-10-06,5,,
"r Betrieb,~e",firm,"üzem, gyár",noun,2014-05-01,5,,
"s Betriebssystem,~e",operating system,operációs rendszer,noun,2014-10-06,5,,
"e Beute,-",prey, zsákmány,noun,2014-10-14,5,,
"e Beute,~n",beehive,"kas, méhkas",noun,2014-10-14,5,,
"e Bewegung,~en",move,mozdulat,noun,2014-05-05,5,,
"r Bildschirm,~e",screen,képernyő,noun,2014-10-06,5,,
"e Bildung,~en",education,oktatás,noun,2014-05-10,5,,
"s Bit,~s",bit,bit,noun,2014-10-06,5,,
"e Blase,~n",blister,hólyag,noun,2014-05-09,5,,
"s Bleichgesicht,~er",pale-face,sápadt arcú,noun,2014-10-14,5,,
"r Bleistift,~e",pencil,ceruza,noun,2014-10-18,5,,
"r Blödsinn,-","nonsense, rubbish",hülyeség,noun,2014-05-01,5,,
"s Bock,~","bock beer (strong, dark lager of German origin)","bock sör (német eredetű, erős, sötét lager)",noun,2014-08-11,5,,
"r Bock,⍨e","lust, desire, interest (colloquial, slang)","kedv (informatív, szleng)",noun,2014-08-11,5,,
"r Bohrer,~",drill,fúró,noun,2014-08-04,5,,
"s Bookmark,~s",bookmark,bookmark,noun,2014-10-06,5,,
"r Böse,~",devil,"(az) ördög, (a) gonosz",noun,2014-10-11,5,,
"r Brand,⍨e",fire,tűz,noun,2014-06-04,5,,
"r Brasilianer,~",Brazilian (male),brazil (férfi),noun,2014-10-16,5,,
"e Brasilianerin,~nen",Brazilian (female),brazil (nő),noun,2014-10-16,5,,
"s Brasilianisch,~e",Brazilian,brazil,noun,2014-10-16,5,,
"s Brasilien,-",Brazil,Brazília,noun,2014-10-16,5,,
"e Braut,⍨e",bride ,menyasszony,noun,2014-05-01,5,,
"r Bräutigam,~e",groom ,vőlegény,noun,2014-05-01,5,,
"s Brautkleid,~er","bridal gown, bride's dress",menyasszonyi ruha,noun,2014-08-11,5,,
"s Brautpaar,~e",bride and groom ,jegyespár,noun,2014-05-01,5,,
"r Brite,~n","Briton, Britishman",britt (férfi),noun,2014-10-16,5,,
"e Britin,~nen","Briton, Britishwoman",britt (nő),noun,2014-10-16,5,,
"s Britisch,~e",British,britt,noun,2014-10-16,5,,
"r Browser,~",browser,böngésző,noun,2014-10-06,5,,
"r Büffel,~",buffalo,"bivaly, bölény",noun,2014-10-14,5,,
"e Bühne,~n",stage,színpad,noun,2014-09-10,5,,
"s Bundesrepublik Deutschland,-",The Federal Republic of Germany,Német Szövetségi Köztársaság,noun,2014-10-16,5,,
"r Businsasse,~n",bus passengers,buszon ülők (csak többes),noun,2014-05-01,5,,
"r Cache,~s",cache,cache,noun,2014-10-06,5,,
"r CD-Brenner,~",cd burner,cd-író,noun,2014-10-06,5,,
"r Channel,~s",channel (IT),csatorna (IT),noun,2014-10-06,5,,
"r Chat,~s",chat (IT),chat,noun,2014-10-06,5,,
"s China,-",China,Kína,noun,2014-10-16,5,,
"r Chinese,~n",Chinese (male),kínai (férfi),noun,2014-10-16,5,,
"e Chinesin, Chinesen",Chinese (female),kínai (nő),noun,2014-10-16,5,,
"s Chinesisch,~e",Chinese,kínai,noun,2014-10-16,5,,
"r Chirurg,~en",surgeon,sebész,noun,2014-10-18,5,,
"e Chirurgie,~n",surgery,sebészet,noun,2014-10-18,5,,
"r Computer,~",computer,számítógép,noun,2014-10-06,5,,
"s Cookie,~s",cookie,"cookie, süti (IT)",noun,2014-10-06,5,,
"s Croissant,~s",croissant ,croissant ,noun,2014-05-01,5,,
"e Cro­quet­te,~n","croquette, croquet",krokett,noun,2014-05-01,5,,
"r Dachboden,⍨","loft, attic, roof chamber","tetőtér, padlás",noun,2014-05-01,5,,
"e Datei,~en",file,fájl,noun,2014-10-06,5,,
"s Dateiformat,~e",file format,fájlformátum,noun,2014-10-06,5,,
"e Datenbank,~en",database,adatbázis,noun,2014-10-06,5,,
"e Datenübertragung,~en",data transfer,adatátvitel,noun,2014-10-06,5,,
"e Dauerleistung,-",stamina,állóképesség,noun,2014-08-11,5,,
"e Decke,~n","cover, blanket; ceiling; roof","takaró, pokróc; mennyezet; tető",noun,2014-05-01,5,,
"r Demonstrant,~en",protester,demonstráló,noun,2014-05-01,5,,
"e Demonstrantin,~nen",protester,demonstráló,noun,2014-05-01,5,,
"r Depp,~en","douche, douchebag, jerk, jackass",idióta,noun,2014-10-15,5,,
"r Desktop,~s",desktop pc,asztali számítógép,noun,2014-10-06,5,,
"e Deutsche, Deutschen",German (female),"német (személy, nő)",noun,2014-08-13,5,,
"e Deutsche,~n",German (female),német (nő),noun,2014-10-16,5,,
"r Deutsche,~n",German (male),német (férfi),noun,2014-10-16,5,,
"r Deutscher, Deutschen",German (male),"német (személy, férfi)",noun,2014-08-13,5,,
"e Deutschkenntnis,~se",German knowledge,némettudás,noun,2014-09-23,5,,
"s Deutschland,~s",Germany,Németország,noun,2014-10-16,5,,
"r Diebstahl,⍨e",theft,lopás,noun,2014-06-04,5,,
"s Ding,~e",thing (object),"izé, dolog",noun,2014-05-01,5,,
"s Dokument,~en",document,dokumentum,noun,2014-10-06,5,,
"r Döner,~",doner ,döner,noun,2014-05-01,5,,
"r Drucker,~",printer,nyomtató,noun,2014-10-06,5,,
"s Druckerkabel,~",printer cable,nyomtatókábel,noun,2014-10-06,5,,
"r Dummkopf,⍨e",fool,idióta (kedves is lehet),noun,2014-10-15,5,,
"r Durchbruch,⍨e",breakthrough,áttörés,noun,2014-05-07,5,,
"r Durchfall,-",diarrhea,hasmenés,noun,2014-05-09,5,,
"r Dürüm,~",dürüm,dürüm,noun,2014-10-15,5,,
"e Ecke,~n",corner,sarok,noun,2014-10-08,5,,
"r E-Com­merce,-",E-Com­merce,E-Com­merce,noun,2014-10-06,5,,
"r Editor,~en",editor,szövegszerkesztő,noun,2014-10-06,5,,
"e Ehre,~n",honor; kudos (colloquial),tisztelet; megtiszteltetés,noun,2014-08-31,5,,
"e Ehrenhaft,-",honorable,tiszteletbeli,noun,2014-10-06,5,,
"s Ehrenwort,~e",word of honor,becsületszó,noun,2014-10-14,5,,
"r Ehrgeizige,~n",ambitious (person),ambiciózus (személy),noun,2014-08-31,5,,
"r Ehrliche,~n",honest (person),őszinte (személy),noun,2014-08-31,5,,
"e Eigentschaft,-en",property,tulajdonság,noun,2014-08-24,5,,
"r Eindruck,~en",impression,benyomás,noun,2014-10-09,5,,
"e Einführung,~en",introduction,bevezetés,noun,2014-05-01,5,,
"s Einkommen,-",income,bevétel,noun,2014-05-09,5,,
"r Einsatz,⍨e",use,bevetés (katonai is); használat,noun,2014-08-24,5,,
"s Einschreiben,~","registered mail, registered letter, certified mail",tértivevényes levél,noun,2014-10-16,5,,
"r Einwohner,-",inhabitant,lakos,noun,2014-05-29,5,,
"s Eiweiß,~e",protein,fehérje,noun,2014-05-01,5,,
"r Ekel,-","creep (disgusting, colloquial)",gusztustalanság,noun,2014-10-01,5,,
"s Ekel,~",disgusting person,gusztustalan ember,noun,2014-10-01,5,,
"r Empfang,~en",reception (social),fogadás (nem sport),noun,2014-05-01,5,,
"s England,-",England,Anglia,noun,2014-10-16,5,,
"r Engländer,~",Englishman,angol (férfi),noun,2014-10-16,5,,
"e Engländerin,~nen",Englishwoman,angol (nő),noun,2014-10-16,5,,
"s Englisch,~e",English,angol,noun,2014-10-16,5,,
"e Entscheidung,~en",decision,döntés,noun,2014-05-01,5,,
"e Enttäuschung,~en",disappointment,csalódottság,noun,2014-10-18,5,,
"e Erdanziehungskraft,⍨e",gravity,gravitáció,noun,2014-10-14,5,,
"e Erfahrung,~en",experience,tapasztalat,noun,2014-08-24,5,,
"r Erfolg,~e",success ,siker,noun,2014-05-11,5,,
"r Erfolgsverwöhnte,~n",spoiled by success (person),sikerhez szokott (kb. elkényeztetette a sors),noun,2014-08-31,5,,
"s Ergebnis,~se",result,eredmény,noun,2014-05-01,5,,
"e Erholung,~e","rest, recreation; recovery",pihenés; felépülés,noun,2014-10-10,5,,
"e Erinnerung,~en","memory, remembrance",emlék,noun,2014-05-09,5,,
"e Erkrankung,~en",illness,betegség,noun,2014-05-01,5,,
"e Ernte,~n",harvest,termés,noun,2014-05-01,5,,
"r Ersatz,~e","replacement, substitute","pótlék, tartalék",noun,2014-09-14,5,,
"e Erwartung,~en",expectation,elvárás,noun,2014-07-06,5,,
"e Erzieherin,~nen",governess,nevelőnő,noun,2014-08-13,5,,
"r Este,~n",Estonian (male),észt (férfi),noun,2014-10-16,5,,
"e Estin,~nen",Estonian (female),észt (nő),noun,2014-10-16,5,,
"s Estisch,~e",Estonian,észt,noun,2014-10-16,5,,
"s Estland,-",Estonia,Észtország,noun,2014-10-16,5,,
"r Estländer,~",Estonian (male),észt (férfi),noun,2014-10-16,5,,
"e Estländerin,~nen",Estonian (female),észt (nő),noun,2014-10-16,5,,
"s Fach,⍨er",subject,tantárgy,noun,2014-08-06,5,,
"e Fahne,~n",flag (country flag only),zászló,noun,2014-05-01,5,,
"r Fahrt,~en","trip, journey",utazás,noun,2014-05-01,5,,
"e Farbpalette,~n",color palette,színpaletta,noun,2014-10-06,5,,
"r Feind,~e",enemy,"ellenség, haragos",noun,2014-09-22,5,,
"e Festplatte,~n",harddrive; harddisk,merevlemez,noun,2014-10-06,5,,
"e Filiale,~n",branch (office of an organization with several locations),üzlet; üzletfiók,noun,2014-06-04,5,,
"e Firewall,~s",firewall (IT),tűzfal (IT),noun,2014-10-06,5,,
"e Firma, Firmen",company,cég,noun,2014-10-09,5,,
"e Firmenschließung,~en",company shutdown,cégbezárás,noun,2014-05-01,5,,
"r Flachbildschirm,~e",flatscreen,lapos monitor; lapos képernyő,noun,2014-10-06,5,,
"e Fläche,~n",surface,terület (matematikai),noun,2014-07-14,5,,
"e Flachzange,~",flat-nose pliers,laposfogó,noun,2014-08-04,5,,
"e Flagge,~n",flag,zászló,noun,2014-05-01,5,,
"s Flämisch,~e",Flemish,flamand,noun,2014-10-16,5,,
"e Flatrate,~s",flatrate,átalányár,noun,2014-10-06,5,,
"s Fleisch,-","meet, flesh, pulp",hús,noun,2014-10-15,5,,
"r Flieger,~",aviator; airplane,repülő; pilóta,noun,2014-10-15,5,,
"e Fliegerstaffel,~n",air squadron,repülőszázad,noun,2014-10-14,5,,
"s Frankreich,-",France,Franciaország,noun,2014-10-16,5,,
"r Franzose,~n",Frenchman,francia (férfi),noun,2014-10-16,5,,
"e Französin,~nen",Frenchwoman,francia (nő),noun,2014-10-16,5,,
"s Französisch,~e",French,francia,noun,2014-10-16,5,,
"e Friedenspfeife,~n",peace-pipe,békepipa,noun,2014-10-14,5,,
"s Gälisch,~e",Gaelic,gall,noun,2014-10-16,5,,
"r Garten,⍨",garden,kert,noun,2014-05-01,5,,
"s Gebiet,~e","area, territory","terület, övezet, környék",noun,2014-07-14,5,,
"e Geborgenheit,~en",safety,biztonság,noun,2014-10-14,5,,
"e Gebühr,~en",fee,díj,noun,2014-05-01,5,,
"e Geduld,-",patience,türelem,noun,2014-05-01,5,,
"s Gefahr,~en",danger,veszély,noun,2014-05-01,5,,
"s Gefängnis,~se",prison,börtön,noun,2014-05-01,5,,
"e Gegend,~en","region, area; neighborhood",környék,noun,2014-05-01,5,,
"r Gegenstand,⍨e","thing, item, object",tárgy,noun,2014-08-24,5,,
"s Gehalt,~e",content,tartalom,noun,2014-05-01,5,,
"s Gehalt,⍨er",salary,fizetés (alkalmazotti),noun,2014-05-01,5,,
"e Geheimzahl,~en",PIN number,pinkód,noun,2014-05-29,5,,
"e Geheimzahl,~en",PIN,PIN,noun,2014-10-06,5,,
"r Geier,~",vulture,keselyű,noun,2014-10-14,5,,
"s Geländer,~e","railing, handrail, banister",korlát,noun,2014-08-05,5,,
"s Geräusch,~e",noise,zaj,noun,2014-09-09,5,,
"s Gerüst,~e","scaffold, scaffolding","állvány, állványzat",noun,2014-08-05,5,,
"s Geschwister,~",sibling,testvér,noun,2014-10-18,5,,
"s Gesetz,~e","law, act, bill, statute",törvény,noun,2014-06-04,5,,
"s Gespräch,~e",conversation,beszélgetés,noun,2014-05-14,5,,
"s Gewissen,-",conscience,lelkiismeret,noun,2014-05-01,5,,
"e Gewohnheit,~en",habit,szokás,noun,2014-08-24,5,,
"e Gießkanne,~n",watering can; watering pot,öntözőkanna,noun,2014-09-01,5,,
"s Gleiche,~n",same,ugyanaz,noun,2014-10-01,5,,
"r Gleis,~en",platform; track,peron; sín,noun,2014-05-01,5,,
"e Glocke,~n",bell,csengő,noun,2014-05-01,5,,
"r Glückspilz,~e",lucky individual,szerencsés flótás,noun,2014-05-01,5,,
"e Grenze,~n",border,határ (átv. is),noun,2014-05-01,5,,
"r Grieche,~n",Greek (male),görög (férfi),noun,2014-10-16,5,,
"s Griechenland,-",Greece,Görögország,noun,2014-10-16,5,,
"e Griechin,~nen",Greek (female),görög (nő),noun,2014-10-16,5,,
"s Griechisch,~e",Greek,görög,noun,2014-10-16,5,,
"s Großbritannien,-",Great Britain,Nagy Britannia,noun,2014-10-16,5,,
"e Großschreibung,~en",upper case,nagybetű,noun,2014-10-06,5,,
"s/r Gu­lasch,~s/e",goulash,gulyás,noun,2014-05-01,5,,
"r Gurt,~e",belt; strap,öv,noun,2014-05-15,5,,
"s Gyros,~",gyros ,gyros,noun,2014-05-01,5,,
"e Hafen,⍨e",harbor; port,kikötő,noun,2014-07-14,5,,
"r Hamburger,~/~s",hamburger ,hamburger,noun,2014-05-01,5,,
"r Hammel,~","wether, mutton",ürü; birkahús,noun,2014-10-15,5,,
"e Harddisk,~s",harddisk,merevlemez,noun,2014-10-06,5,,
"e Hardware,~s",hardware,hardver,noun,2014-10-06,5,,
"e Hase,~n",hare,nyúl,noun,2014-05-01,5,,
"e Hauptseite,~n",main page,főoldal (IT),noun,2014-10-06,5,,
"s Hebräisch,~e",Hebrew,héber,noun,2014-10-16,5,,
"r Hecht,~e",pike,csődőr,noun,2014-10-01,5,,
"e Heiserkeit,~en",hoarseness,rekedtség,noun,2014-07-28,5,,
"e Herausforderung,~en",challenge,kihivás,noun,2014-06-06,5,,
"r Herbst,~e","fall, autumn",ősz,noun,2014-05-01,5,,
"r Herzinfarkt,~e",heart attack,szívroham,noun,2014-10-14,5,,
"s Highlight,~s",highlight,fénypont,noun,2014-07-14,5,,
"e Hilfesprechblase,~n",help balloon,segítség szövegbuborék (IT),noun,2014-10-06,5,,
"r Himmel,~",sky; heaven,ég; menny,noun,2014-05-01,5,,
"s Hindi,-",Hindi,hindi,noun,2014-10-16,5,,
"r Hintergrund,⍨e",background,háttér,noun,2014-10-06,5,,
"r Hirni,~s",idiot; pea-brain,agyas (slang),noun,2014-10-15,5,,
"r Hit,~s",hit,találat,noun,2014-10-06,5,,
"e Hitze,-",heat,"forróság, hőség",noun,2014-05-01,5,,
"e Hoffnung,~en",hope,remény,noun,2014-05-09,5,,
"e Höflichkeit,~en","courtesy, politeness, courtliness ",illetlenség,noun,2014-08-20,5,,
"e Hölle,~n",hell,pokol,noun,2014-05-01,5,,
"s Holz,⍨er",wood,fa,noun,2014-05-10,5,,
"e Homepage,~s",homepage,főoldal (IT),noun,2014-10-06,5,,
"r Homie,~s","homie, buddy (slang)","span (informális), haver",noun,2014-08-20,5,,
"r Host,~s",host,host; kiszolgáló (IT),noun,2014-10-06,5,,
"r/s Hot Dog,~s",hotdog,hotdog,noun,2014-05-01,5,,
"e Hure,~n",whore,kurva,noun,2014-08-02,5,,
"r Idiot,~en",idiot (male),idióta (férfi),noun,2014-10-15,5,,
"e Idiotin,~nen","jerk, moron, idiot (female)",idióta (nő),noun,2014-10-15,5,,
